Date,Price,Open,High,Low,Vol.,Change %
26-Apr-21,"28,952.83","29,106.45","29,238.99","28,908.65",1.79B,-0.43%
23-Apr-21,"29,078.75","28,798.45","29,078.75","28,748.57",1.90B,1.12%
22-Apr-21,"28,755.34","28,716.98","28,848.02","28,597.00",1.93B,0.47%
21-Apr-21,"28,621.92","28,702.27","28,778.36","28,506.76",2.20B,-1.76%
20-Apr-21,"29,135.73","28,962.80","29,220.19","28,885.55",2.01B,0.10%
19-Apr-21,"29,106.15","28,960.13","29,319.76","28,806.76",2.02B,0.47%
16-Apr-21,"28,969.71","28,827.17","29,079.18","28,711.11",2.19B,0.61%
15-Apr-21,"28,793.14","28,872.82","28,884.57","28,530.99",1.90B,-0.37%
14-Apr-21,"28,900.83","28,796.55","28,979.35","28,685.06",1.94B,1.42%
13-Apr-21,"28,497.25","28,557.84","28,877.15","28,452.12",2.06B,0.15%
12-Apr-21,"28,453.28","28,791.97","28,791.97","28,274.27",1.99B,-0.86%
09-Apr-21,"28,698.80","29,152.44","29,152.44","28,604.55",1.90B,-1.07%
08-Apr-21,"29,008.07","28,604.12","29,054.82","28,587.11",2.52B,1.16%
07-Apr-21,"28,674.80","29,101.40","29,101.40","28,598.86",2.22B,-0.91%
01-Apr-21,"28,938.74","28,594.55","28,938.74","28,511.65",2.23B,1.97%
31-Mar-21,"28,378.35","28,802.53","28,802.53","28,332.78",2.70B,-0.70%
30-Mar-21,"28,577.50","28,552.77","28,694.15","28,371.23",2.27B,0.84%
29-Mar-21,"28,338.30","28,317.32","28,484.66","28,132.36",2.85B,0.01%
26-Mar-21,"28,336.43","28,043.65","28,415.15","28,014.29",2.42B,1.57%
25-Mar-21,"27,899.61","27,628.08","28,032.01","27,505.08",2.60B,-0.07%
24-Mar-21,"27,918.14","28,437.49","28,457.87","27,827.05",2.69B,-2.03%
23-Mar-21,"28,497.38","29,008.02","29,043.18","28,376.22",2.05B,-1.34%
22-Mar-21,"28,885.34","28,801.09","29,139.07","28,801.09",2.07B,-0.36%
19-Mar-21,"28,990.94","29,158.48","29,271.40","28,737.54",3.81B,-1.41%
18-Mar-21,"29,405.72","29,317.61","29,596.58","29,317.61",2.11B,1.28%
17-Mar-21,"29,034.12","28,992.24","29,180.01","28,780.23",1.90B,0.02%
16-Mar-21,"29,027.69","29,036.82","29,118.62","28,872.40",2.35B,0.67%
15-Mar-21,"28,833.76","28,923.95","29,178.99","28,612.74",3.10B,0.33%
12-Mar-21,"28,739.72","29,550.37","29,550.37","28,707.35",3.56B,-2.20%
11-Mar-21,"29,385.61","28,909.98","29,412.42","28,893.21",3.60B,1.65%
10-Mar-21,"28,907.52","29,255.37","29,255.37","28,710.91",2.84B,0.47%
09-Mar-21,"28,773.23","28,665.26","29,047.13","28,326.13",4.38B,0.81%
08-Mar-21,"28,540.83","29,362.59","29,386.33","28,422.27",4.91B,-1.92%
05-Mar-21,"29,098.29","28,667.14","29,397.27","28,513.13",4.00B,-0.47%
04-Mar-21,"29,236.79","29,525.48","29,597.16","29,102.10",2.96B,-2.15%
03-Mar-21,"29,880.42","29,249.43","29,912.00","29,183.59",3.23B,2.70%
02-Mar-21,"29,095.86","29,708.39","29,765.96","28,957.31",2.90B,-1.21%
01-Mar-21,"29,452.57","29,457.89","29,550.75","29,195.97",2.63B,1.63%
